単語文書行列（TF-IDF)=
単語	    うち   お笑い    お金    ひだ    もちょっときついなとなってるのがもう  ウイルス   エリアキャリーバッグ   ケージ   コロナ   コンビ   サイト   サロンジャーナリスト  ジョーク   タワー   ダリア    ドン バイキングバーベキュー   ファン フジテレビ   フード  ブラック    ヘリ   ペット   ペース マヨネーズ マンション    メス    ワン   一人物    一宮    一般    三郎 上丸子天神    不急    中原    中学    中津   中津川    事件    事態   二ノ宮    付近    仲間    会社   保健所    入山    全員    内容    刑事    動物 北アルプス    区内    友人  取り扱い    古畑    吉村    同氏   同級生    名前    吹雪    周辺   和歌山    品川    土岐    地域    地点   多摩川    多量    大宮    大阪    女性    宏之    家族    容疑    密室    対象    小川    小杉    尾根   山小屋    山岳    山頂    岐阜    川崎    市内 引き取り手    心肺    愛知    態度    戸塚   手伝い    政府    新型    方向    時代    期間    期限   木曽川    本人    本部    東京    松本   槍ケ岳   槍ヶ岳    標高    横浜    殺人   毛並み    民放    水中    水深   河川敷    泰平    洋文    消防    満期    犯人    犯罪    状態    状況    現場    現状   生き物    田口    田辺    男女    男性    画像    番組    疑い    病院    目標    県境    県警    知事    知人    社員    社長   神奈川    私見    竜一    紀州    署員    考え    自宅    自身    英昭    西尾   覚醒剤    記者    警察    貴章    資産    距離    迷い    通常    部屋    都内    酒類    重点    野崎    金銭    長野    隊員    須藤    駄知    驒乗  １１０番  ｍｏｒｅ

文書 6 	  1.2231  0.0000  0.0000  1.2231  0.0000  0.0000  1.1054  0.0000  0.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  6.0433  0.0000  0.0000  0.0000  0.0000  1.3567  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.2231  0.0000  0.0000  1.6931  0.0000  6.0433  0.0000  1.2231  1.2231  0.0000  1.0000  3.6694  4.8926  3.6694  4.8926  0.0000  2.4463  1.2231  1.0000  0.0000  0.0000  2.4463  0.0000  4.5325  0.0000  0.0000  2.0000  0.0000  0.0000  0.0000  1.2231  1.2231  0.0000  0.0000  1.2231  0.0000  1.2231  3.0217  0.0000  1.6931  2.0000  0.0000  1.2231  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  4.8926  3.6694  1.3567  1.3567  4.8926  6.0433  1.6931  0.0000  1.3567  1.2231  0.0000  1.5108  0.0000  1.0000  2.0000  1.0000  0.0000  0.0000  1.0000  1.2231  0.0000  1.0000  0.0000  1.2231  1.2231  2.7133  1.3567  3.0217  0.0000  0.0000  1.1054  1.5108  1.6931  3.0217  0.0000  2.0000  1.6931  0.0000  0.0000  0.0000  2.7133  0.0000  3.6694  1.0000  0.0000  2.4463  0.0000  1.5108 11.0083  0.0000  1.1054  0.0000  3.0217  0.0000  1.2231  6.1157  2.0000  0.0000  1.2231  0.0000  3.0217  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  0.0000  1.2231  2.4463  0.0000  1.0000  1.3567  1.2231  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.4463  1.3567  0.0000  1.2231  1.2231  1.5108  0.0000

文書 7 	  1.2231  0.0000  0.0000  1.2231  0.0000  0.0000  1.1054  1.9163  0.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 10.5758  0.0000  0.0000  0.0000  0.0000  1.3567  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.2231  0.0000  0.0000  1.6931  1.9163  7.5541  0.0000  1.2231  1.2231  0.0000  1.0000  3.6694  4.8926  3.6694  6.1157  0.0000  2.4463  1.2231  1.0000  0.0000  0.0000  2.4463  0.0000 10.5758  0.0000  0.0000  2.0000  0.0000  0.0000  0.0000  1.2231  1.2231  0.0000  0.0000  1.2231  1.9163  1.2231  6.0433  0.0000  1.6931  2.0000  0.0000  1.2231  0.0000  0.0000  0.0000  1.9163  0.0000  0.0000  4.8926  3.6694  1.3567  1.3567  4.8926 10.5758  1.6931  0.0000  1.3567  1.2231  0.0000  1.5108  0.0000  1.0000  2.0000  1.0000  0.0000  0.0000  1.0000  1.2231  0.0000  1.0000  0.0000  1.2231  1.2231  2.7133  1.3567  4.5325  0.0000  0.0000  1.1054  1.5108  1.6931  6.0433  0.0000  2.0000  3.3863  0.0000  0.0000  0.0000  2.7133  1.9163  6.1157  1.0000  0.0000  2.4463  0.0000  1.5108 14.6777  0.0000  1.1054  0.0000  4.5325  0.0000  1.2231  6.1157  2.0000  0.0000  1.2231  0.0000  4.5325  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  0.0000  1.2231  2.4463  0.0000  1.0000  6.7834  1.2231  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.9163  0.0000  0.0000  2.4463  1.3567  0.0000  1.2231  1.2231  1.5108  0.0000

文書 8 	  1.2231  2.2040  2.2040  1.2231  2.2040  2.2040  1.1054  1.9163  0.0000  0.0000  2.0000  2.2040  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  4.4079  2.2040 10.5758  4.4079  2.2040  0.0000  2.2040  1.3567  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  2.2040  1.2231  0.0000  2.2040  1.6931  1.9163  7.5541  0.0000  1.2231  1.2231  4.4079  1.0000  3.6694  4.8926  3.6694  6.1157  0.0000  2.4463  1.2231  1.0000  0.0000  0.0000  2.4463  0.0000 10.5758  0.0000  2.2040  2.0000  0.0000  0.0000  0.0000  1.2231  1.2231  0.0000  0.0000  1.2231  1.9163  1.2231  6.0433  0.0000  1.6931  2.0000  0.0000  1.2231  0.0000  8.8159  2.2040  1.9163  0.0000  4.4079  4.8926  3.6694  1.3567  1.3567  4.8926 10.5758  1.6931  0.0000  1.3567  1.2231  4.4079  1.5108  0.0000  1.0000  2.0000  1.0000  0.0000  0.0000  1.0000  1.2231  0.0000  1.0000  0.0000  1.2231  1.2231  2.7133  1.3567  4.5325  0.0000  0.0000  1.1054  1.5108  1.6931  6.0433  0.0000  2.0000  3.3863  0.0000  2.2040  0.0000  2.7133  1.9163  6.1157  1.0000  0.0000  2.4463  0.0000  1.5108 14.6777  0.0000  2.2107  0.0000  4.5325  0.0000  1.2231  6.1157  2.0000  0.0000  1.2231  0.0000  4.5325  2.2040  2.2040  4.4079  0.0000  1.0000  0.0000  0.0000  1.2231  2.4463  0.0000  1.0000  6.7834  1.2231  2.2040  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.9163  4.4079  2.2040  2.4463  1.3567  6.6119  1.2231  1.2231  1.5108  2.2040

文書 9 	  1.2231  2.2040  2.2040  1.2231  2.2040  2.2040  1.1054  1.9163  5.2189  2.6094  2.0000  2.2040  2.6094  2.6094  2.6094  2.2040  2.6094 10.4378  6.6119  2.2040 10.5758  6.6119  2.2040  5.2189  2.2040  1.3567 28.7038  2.6094  2.2040  5.2189  2.6094  5.2189  2.2040  1.2231  2.6094  2.2040  1.6931  1.9163  7.5541  2.6094  1.2231  1.2231  4.4079  1.0000  3.6694  4.8926  3.6694  7.3389  2.6094  2.4463  1.2231  1.0000  5.2189  5.2189  2.4463  2.6094 22.6624  2.6094  2.2040  2.0000  2.6094  2.6094  2.6094  1.2231  2.4463 10.4378  2.6094  1.2231  1.9163  1.2231  6.0433  2.6094  1.6931  2.0000  2.6094  1.2231  5.2189 35.2636  2.2040  1.9163 15.6566  4.4079  4.8926  3.6694  1.3567  1.3567  4.8926 10.5758  1.6931  2.6094  1.3567  1.2231  4.4079  1.5108  2.6094  1.0000  2.0000  1.0000  5.2189  2.6094  1.0000  1.2231  2.6094  1.0000  5.2189  1.2231  1.2231  2.7133  1.3567  4.5325  2.6094  2.6094  1.1054  1.5108  1.6931  6.0433  2.6094  2.0000  3.3863  2.6094  2.2040  2.6094  2.7133  1.9163  6.1157  1.0000  2.6094  2.4463  2.6094  1.5108 14.6777  2.6094  2.2107  2.6094  4.5325  2.6094  1.2231  9.7851  2.0000  5.2189  1.2231  2.6094  6.0433  2.2040  2.2040  6.6119  2.6094  1.0000  2.6094  2.6094  1.2231  2.4463  5.2189  1.0000 14.9234  1.2231  4.4079  2.6094  5.2189  2.6094  5.2189  5.2189  2.6094  1.9163  6.6119  2.2040  2.4463  1.3567 19.8358  1.2231  1.2231  1.5108  2.2040

文書 10 	  1.2231  2.2040  2.2040  1.2231  2.2040  2.2040  1.1054  1.9163  5.2189  2.6094  2.0000  2.2040  2.6094  2.6094  2.6094  2.2040  2.6094 10.4378  8.8159  2.2040 10.5758  8.8159  2.2040  5.2189  2.2040  1.3567 28.7038  2.6094  2.2040  5.2189  2.6094  5.2189  2.2040  1.2231  2.6094  2.2040  1.6931  1.9163  7.5541  2.6094  1.2231  1.2231  6.6119  1.0000  3.6694  4.8926  3.6694  7.3389  2.6094  2.4463  1.2231  1.0000  5.2189  5.2189  2.4463  2.6094 22.6624  2.6094  2.2040  2.0000  2.6094  2.6094  2.6094  1.2231  2.4463 15.6566  2.6094  1.2231  1.9163  1.2231  6.0433  2.6094  1.6931  2.0000  2.6094  1.2231  5.2189 37.4675  2.2040  1.9163 15.6566  4.4079  4.8926  3.6694  1.3567  1.3567  4.8926 10.5758  1.6931  2.6094  1.3567  1.2231  4.4079  1.5108  2.6094  1.0000  2.0000  1.0000  5.2189  2.6094  1.0000  1.2231  2.6094  1.0000  5.2189  1.2231  1.2231  2.7133  1.3567  4.5325  5.2189  2.6094  1.1054  1.5108  1.6931  6.0433  2.6094  2.0000  3.3863  2.6094  2.2040  2.6094  2.7133  1.9163  6.1157  1.0000  2.6094  2.4463  5.2189  1.5108 14.6777  2.6094  2.2107  5.2189  4.5325  2.6094  1.2231 11.0083  2.0000  5.2189  1.2231  2.6094  6.0433  2.2040  2.2040  8.8159  2.6094  1.0000  2.6094  2.6094  1.2231  2.4463  7.8283  1.0000 14.9234  1.2231  6.6119  2.6094  5.2189  2.6094  5.2189  5.2189  2.6094  1.9163  8.8159  2.2040  2.4463  1.3567 22.0397  1.2231  1.2231  1.5108  2.2040

